PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Feed_Trans_Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
Plant_0,FlexEEG_biogas,80000000.0,68.08490424017151,0.16820948806459857,80000000.0,44071726.028554976,35928273.971445024,25.174099013113665,8.564718871208212,9.422864474765905,41.847311018606376,0.0,8760.0,49.36540711748482,12.173113158736982,13.520663825696476,5.800015432261949,3.5151608680375457,2.3382588871176946
Plant_1,FlexEEG_biogas,80000000.0,70.96212666711756,0.17296076483621792,80000000.0,44612285.80636085,35387714.19363915,25.45419098537998,8.564718871208212,9.514865958721588,41.847311018606376,0.0,8760.0,47.79568973952001,10.815045642890134,13.686500921086632,5.871155261260312,3.558275915915341,2.3382588871176946
Plant_2,FlexEEG_biogas,80000000.0,61.25006765178313,0.15683602522343598,80000000.0,44492332.69974241,35507667.30025759,25.39203707827908,8.564718871208212,10.08761114930181,41.847311018606376,0.0,8760.0,49.2850393695521,10.786171507133073,13.64970078241303,5.8553689526169,3.548708456131455,2.3382588871176946
Plant_3,FlexEEG_biogas,80000000.0,88.17975273407154,0.20103957174628784,80000000.0,43485981.980234005,36514018.019765995,24.870594733895174,8.564718871208212,7.805714844271031,41.847311018606376,0.0,8760.0,48.69656046428536,13.020522253768675,13.340964751507297,5.722929172526716,3.468441922743464,2.3382588871176946
Plant_4,FlexEEG_biogas,80000000.0,56.05820028751897,0.14810225636975538,80000000.0,45113035.883494504,34886964.116505496,25.71365549323918,8.564718871208212,10.74863358761543,41.847311018606376,0.0,8760.0,50.042802420614336,11.786643148488452,13.840124889642551,5.937055974411411,3.598215742067522,2.3382588871176946
Plant_5,FlexEEG_biogas,80000000.0,83.2700250880502,0.1930861738177565,80000000.0,43329074.99025871,36670925.00974129,24.789293109007474,8.564718871208212,8.04537313605983,41.847311018606376,0.0,8760.0,48.672659154013765,11.75793594686171,13.292827615648736,5.702279585018007,3.455927021223035,2.3382588871176946
Plant_6,FlexEEG_biogas,80000000.0,89.36146636339686,0.20294850710177603,80000000.0,44246890.62292198,35753109.37707802,25.264860846904977,8.564718871208212,8.122729684837829,41.847311018606376,0.0,8760.0,47.992009612728886,12.248505401274398,13.574402170164,5.823067793539025,3.5291319960842573,2.3382588871176946
Plant_7,FlexEEG_biogas,80000000.0,58.70757048745385,0.15257014481208997,80000000.0,44361875.60194156,35638124.39805844,25.324440510203864,8.564718871208212,10.186223327790092,41.847311018606376,0.0,8760.0,49.944107797485614,9.743524666575228,13.609678148357393,5.8382002767179175,3.5383031980108592,2.3382588871176946
Plant_8,FlexEEG_biogas,80000000.0,74.06398895877646,0.17806153882410536,80000000.0,43602849.30023991,36397150.69976009,24.931149735391585,8.564718871208212,8.789049008235915,41.847311018606376,0.0,8760.0,48.46948197036471,10.694058178403104,13.37681820877798,5.738309379308773,3.4777632601871353,2.3382588871176946
Plant_9,FlexEEG_biogas,80000000.0,61.58364167588826,0.15739420647035263,80000000.0,44523633.51619938,35476366.48380062,25.408255649795013,8.564718871208212,10.0820232381162,41.847311018606376,0.0,8760.0,50.00866636569815,10.708627622109992,13.659303488159349,5.859488265265904,3.551205009252063,2.3382588871176946
